id,task_id,tasker_id,proposed_price,message,estimated_hours,status,created_at,updated_at
bb0e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440001,770e8400-e29b-41d4-a716-446655440001,2500,I can fix your leaking sink today. I have 10 years experience in plumbing.,2,pending,2024-01-28 11:00:00,2024-01-28 11:00:00
bb0e8400-e29b-41d4-a716-446655440002,aa0e8400-e29b-41d4-a716-446655440001,770e8400-e29b-41d4-a716-446655440007,2800,Professional plumbing service. Can come tomorrow morning.,2,pending,2024-01-28 12:00:00,2024-01-28 12:00:00
bb0e8400-e29b-41d4-a716-446655440003,aa0e8400-e29b-41d4-a716-446655440002,770e8400-e29b-41d4-a716-446655440002,6500,Professional deep cleaning with eco-friendly products. Available this weekend.,6,accepted,2024-01-26 10:00:00,2024-01-27 15:00:00
bb0e8400-e29b-41d4-a716-446655440004,aa0e8400-e29b-41d4-a716-446655440003,770e8400-e29b-41d4-a716-446655440003,20000,I can build custom bookshelf with quality wood. Portfolio available.,16,pending,2024-01-27 13:00:00,2024-01-27 13:00:00
bb0e8400-e29b-41d4-a716-446655440005,aa0e8400-e29b-41d4-a716-446655440004,770e8400-e29b-41d4-a716-446655440004,4000,Experienced A/L maths teacher. 5 years teaching experience.,2,pending,2024-01-27 15:00:00,2024-01-27 15:00:00
bb0e8400-e29b-41d4-a716-446655440006,aa0e8400-e29b-41d4-a716-446655440005,770e8400-e29b-41d4-a716-446655440005,10000,I can deliver your furniture safely to Jaffna. Three-wheeler available.,8,pending,2024-01-28 09:00:00,2024-01-28 09:00:00
bb0e8400-e29b-41d4-a716-446655440007,aa0e8400-e29b-41d4-a716-446655440006,770e8400-e29b-41d4-a716-446655440006,15000,Modern logo design with 3 concepts. Unlimited revisions.,12,accepted,2024-01-20 12:00:00,2024-01-21 10:00:00
bb0e8400-e29b-41d4-a716-446655440008,aa0e8400-e29b-41d4-a716-446655440007,770e8400-e29b-41d4-a716-446655440007,10000,Professional painting service. Quality paint included in price.,8,pending,2024-01-28 13:00:00,2024-01-28 13:00:00
bb0e8400-e29b-41d4-a716-446655440009,aa0e8400-e29b-41d4-a716-446655440008,770e8400-e29b-41d4-a716-446655440001,2000,I can install ceiling fan safely. Licensed electrician.,1,pending,2024-01-28 14:00:00,2024-01-28 14:00:00
bb0e8400-e29b-41d4-a716-446655440010,aa0e8400-e29b-41d4-a716-446655440009,770e8400-e29b-41d4-a716-446655440002,7500,Weekly office cleaning service. Professional team with equipment.,4,pending,2024-01-28 15:00:00,2024-01-28 15:00:00
bb0e8400-e29b-41d4-a716-446655440011,aa0e8400-e29b-41d4-a716-446655440010,770e8400-e29b-41d4-a716-446655440003,6500,I can repair or replace wooden door. Quality work guaranteed.,6,pending,2024-01-28 16:00:00,2024-01-28 16:00:00
bb0e8400-e29b-41d4-a716-446655440012,aa0e8400-e29b-41d4-a716-446655440011,770e8400-e29b-41d4-a716-446655440004,5000,Experienced English teacher. Can start immediately.,2,accepted,2024-01-25 12:00:00,2024-01-26 11:00:00
bb0e8400-e29b-41d4-a716-446655440013,aa0e8400-e29b-41d4-a716-446655440012,770e8400-e29b-41d4-a716-446655440005,12000,Professional moving service with helpers. Furniture protection included.,6,pending,2024-01-28 17:00:00,2024-01-28 17:00:00
bb0e8400-e29b-41d4-a716-446655440014,aa0e8400-e29b-41d4-a716-446655440013,770e8400-e29b-41d4-a716-446655440001,4000,I can fix water heater. Experienced with all brands.,3,pending,2024-01-28 18:00:00,2024-01-28 18:00:00
bb0e8400-e29b-41d4-a716-446655440015,aa0e8400-e29b-41d4-a716-446655440015,770e8400-e29b-41d4-a716-446655440006,30000,Modern responsive website with CMS. SEO optimized.,40,pending,2024-01-28 20:00:00,2024-01-28 20:00:00
